City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,nyagan,62.1406,65.3936,30.51,95,100,6.85,RU,1708989594
307,lihue,21.9789,-159.3672,78.04,73,20,18.41,US,1708989442
308,san pedro pochutla,15.7333,-96.4667,85.71,53,90,8.19,MX,1708989594
309,neiafu,-18.65,-173.9833,86.68,84,20,4.61,TO,1708989594
310,vukovar,45.3433,18.9997,50.07,93,0,5.75,HR,1708989594
311,kolonia town,6.964,158.206,84.31,89,75,6.91,FM,1708989595
312,afaahiti,-17.75,-149.2833,87.67,78,56,6.71,PF,1708989448
313,vorkuta,67.5,64.0,30.78,95,100,14.92,RU,1708989504
314,neusiedl am see,47.9357,16.8325,51.49,67,100,12.48,AT,1708989595
315,yamba,-5.9,22.3,68.45,99,97,1.79,CD,1708989595
316,ceeldheer,3.8488,47.1806,77.85,75,91,11.16,SO,1708989595
317,dongning,44.0622,131.1207,12.63,71,10,2.19,CN,1708989595
318,lerwick,60.1545,-1.1494,42.8,74,100,27.02,GB,1708989595
319,mugia,43.1041,-9.2179,49.91,63,61,24.34,ES,1708989520
320,maiyama,12.0841,4.3677,82.11,10,39,9.01,NG,1708989596
321,nuku'alofa,-21.1333,-175.2,86.34,89,40,11.5,TO,1708989521
322,wynyard,-41.0,145.7167,61.11,72,100,11.1,AU,1708989596
323,mountain home,43.133,-115.6912,38.43,87,100,14.97,US,1708989597
324,belmonte,-15.8631,-38.8828,78.19,89,10,7.2,BR,1708989597
325,rio verde de mato grosso,-18.9181,-54.8442,83.53,59,89,6.02,BR,1708989373
326,carnarvon,-24.8667,113.6333,76.68,82,66,15.88,AU,1708989598
327,susuman,62.7833,148.1667,-37.01,99,85,1.01,RU,1708989450
328,matoury,4.8483,-52.3317,78.76,83,0,2.3,GF,1708989598
329,saint-pierre,-21.3393,55.4781,78.48,83,30,19.57,RE,1708989598
330,kavieng,-2.5744,150.7967,83.32,74,100,2.06,PG,1708989599
331,altenstadt,50.2833,8.95,47.98,86,100,7.09,DE,1708989599
332,al markaz,25.4,49.7333,55.99,65,0,2.01,SA,1708989599
333,camana,-16.6228,-72.7111,75.56,83,99,8.05,PE,1708989599
334,oum hadjer,13.2954,19.6966,82.81,23,45,8.3,TD,1708989599
335,khandyga,62.6667,135.6,-36.9,100,100,2.57,RU,1708989599
336,atafu village,-8.5421,-172.5159,82.29,82,100,25.14,TK,1708989445
337,chemin grenier,-20.4872,57.4656,78.39,79,75,13.91,MU,1708989599
338,mantua,45.1667,10.7833,47.01,95,100,15.99,IT,1708989600
339,qamdo,31.1667,97.2333,15.22,72,65,5.37,CN,1708989600
340,brisas de zicatela,15.8369,-97.0419,84.72,65,40,5.75,MX,1708989600
341,corinto,37.9407,22.9573,54.9,86,60,3.96,GR,1708989600
342,oodweyne,9.4092,45.064,70.57,24,43,2.33,SO,1708989600
343,kiunga,-6.1219,141.2906,78.22,92,96,1.72,PG,1708989495
344,libenge,3.65,18.6333,80.38,48,37,3.89,CD,1708989601
345,san martin,-33.081,-68.4681,90.14,33,8,10.02,AR,1708989601
346,kourou,5.1552,-52.6478,78.85,75,7,8.25,GF,1708989601
347,acarau,-2.8856,-40.12,77.31,90,100,4.29,BR,1708989601
348,gadzhiyevo,69.2551,33.3362,31.21,82,100,22.32,RU,1708989453
349,hola,51.5377,23.1902,46.58,89,94,7.92,PL,1708989602
350,kombissiri,12.0656,-1.3375,84.18,21,78,5.37,BF,1708989602
351,page,36.9147,-111.4558,64.11,19,98,21.99,US,1708989304
352,kibakwe,-6.7167,36.3667,66.31,99,100,2.42,TZ,1708989603
353,jinka,5.65,36.65,71.87,47,64,1.63,ET,1708989604
354,arraial do cabo,-22.9661,-42.0278,77.29,88,79,9.6,BR,1708989430
